Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.441,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.6362,18869945678.4215,18353881129.5246,19291104007.6135,19807067268.1084
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7465114629.20396,8124454292.28697,8239343661.259,9164598457.75828,9655582953.49947,10990594706.8702,11421973771.0142,13865194313.5562,15856574731.441,15924179996.471,17954877146.145,18960483968.7729,19477070576.5166,19759744157.1511,20206376460.4766,20741239892.3851,20987900551.3602,21808863986.9923,21386910830.2407
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,877.01426830392,927.857548047018,925.441429176842,1023.05174932878,1077.76153966077,1228.70386342946,1272.57297477768,1519.69292278438,1710.57541109225,1699.48811019742,1914.77422837964,2015.51477466948,2069.42402167356,2087.30532306683,1981.11806850696,2058.4002210698,2082.63564821362,2152.3664894209,2087.63639400062
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1189.78466765718,1235.81006329565,1200.27801321734,1286.79365893927,1315.78911741835,1460.8257513794,1484.11446132539,1758.90447663765,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717,2065.03623501599,1978.96157872183
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26890054382.385,29265058689.4061,29678901146.3632,33011757107.8906,34780330056.488,39589169629.9389,41143038133.026,49943751386.6576,57116893447.1231,57360414055.1093,64675178730.6937,68297470348.5577,70158264544.684,71176481723.2911,72785293847.6716,74711922906.3738,75600418108.8303,78557606648.6734,77037691162.3816
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19821201272.7123,21972474901.6777,22883102406.9713,26245649893.4599,28488533288.0223,33298540656.4323,35278625599.7927,43151385722.0354,49924017476.7623,51184181904.4289,59667003515.1962,65039839448.5561,69058343420.1602,71831696727.8086,70097956089.2877,74711922906.3738,77415569869.8162,81879802965.493,81268221429.6666
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1857338011.85488,1897050133.42015,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199642579.96974,2258515610.08862,2545967253.2416,3212119044.17089,3480355188.60063,3922099470.97313,4348070165.19261,5611492282.86582,7184681398.5698,8052075642.10781,8896073938.31407,10677321490.3807,12881354103.8398,12044223352.5413,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4706,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5323398063.85534,5629261101.74622,5795245314.54426,5859279197.3914,5785944655.55332,5888971729.57823,6220947386.67305,6171936109.61493,6084292169.38809,6682776548.1368,6042857912.55639,4350728279.80877,4038036612.66906,4424049156.84258,4791372056.26117,5429694612.20147,5923796791.7011,5276919124.81347,5742875711.85154,6483126460.62459,6933706092.26578,7508515182.79876,7849398816.77983,8283474557.11024,8739893896.95844,9223202583.88038,9767379279.88863,10351466806.2388,11127823665.7504,11500613161.6647,11926928505.5231,12230507222.1843,12403877841.0321,12528163103.1195,12750473701.7819,13033375121.5884,13465406059.6498,13977387390.5945,14546448944.4056,14862643983.3091,14370506253.3253
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2548.84576396434,1908.64433095543,1822.85907628633,2056.94345335585,2289.30974784048,2665.10903652225,2979.33308993872,2716.69355834805,3020.93057263444,3471.65635908955,3862.48437763265,4301.38282973192,4661.37914319822,4994.92469274671,5423.20168382235,5865.31759085604,6557.80133674236,7274.52468523841,8228.32755984622,8819.51009173416,9636.10870469977,10207.7335023376,10526.3189737173,10570.9681040326,11259.2967004521,11658.8660596051,12078.8007284137,12770.9750370811,13546.4816863125,14230.9895072106,13817.7589656756
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4827.31848375491,3496.58024610028,3265.01742857304,3599.02705819638,3921.85120713086,4471.87106998715,4909.22810492363,4400.57782736551,4819.38753360483,5475.16913542593,5893.13623256329,6441.85345238676,6754.53600301332,7154.78482512179,7580.62909108667,8040.87871678112,8569.19111251045,9150.51874704368,9912.57724242974,10313.926441304,10749.4874481658,11052.7904635136,11227.9944871972,11361.2936763788,11586.8637666424,11878.4880933446,12291.8733773928,12770.9750370811,13323.7533559132,13671.4884222978,13295.4108845409
